ExperimentName	Subject	Session	SessionDate	SessionTime	LineNumber	RunningSample	ACC	CRESP	RESP	RT	CurrentObject	ComponentName	CurrentFixationDuration	CursorX	CursorY	RTTime	RTTimeMicro	RTTimeReceived	RTTimeReceivedMicro	SystemTimestamp	HardwareTimestamp	HostTimestamp	SEQD	SEQH	GazePointValidityLeftEye	GazePointPositionDisplayXLeftEye	GazePointPositionDisplayYLeftEye	GazePointValidityRightEye	GazePointPositionDisplayXRightEye	GazePointPositionDisplayYRightEye	GazePointPositionUserXLeftEye	GazePointPositionUserYLeftEye	GazePointPositionUserZLeftEye	GazePointPositionUserXRightEye	GazePointPositionUserYRightEye	GazePointPositionUserZRightEye	GazeOriginValidityLeftEye	GazeOriginPositionUserXLeftEye	GazeOriginPositionUserYLeftEye	GazeOriginPositionUserZLeftEye	GazeOriginValidityRightEye	GazeOriginPositionUserXRightEye	GazeOriginPositionUserYRightEye	GazeOriginPositionUserZRightEye	GazeOriginPositionTrackBoxXLeftEye	GazeOriginPositionTrackBoxYLeftEye	GazeOriginPositionTrackBoxZLeftEye	GazeOriginPositionTrackBoxXRightEye	GazeOriginPositionTrackBoxYRightEye	GazeOriginPositionTrackBoxZRightEye	PupilValidityLeftEye	PupilDiameterLeftEye	PupilValidityRightEye	PupilDiameterRightEye	Image1	Picture	Tekst
PosterExperimentFinal	37	1	02-16-2023	15:34:55	21	1	0		1	8143	Fixation1	State1	36	1233	629	121397	121397669	121414	121414988	21354543310	21370940839	21354560629	301	14143	1	0.64393	0.53139	1	0.64076	0.51830	74.09461	161.27719	48.05831	72.43565	165.29239	49.51973	1	-37.04049	30.04982	557.08777	1	25.98822	29.54801	559.11023	0.58828	0.44382	0.25312	0.43453	0.44489	0.25609	1	2.58791	1	2.69392	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	22	1	0		1	8143	Fixation1	State1	40	1239	627	121401	121401669	121418	121418847	21354547310	21370944839	21354564488	302	14144	1	0.64793	0.52228	1	0.64307	0.52323	76.18413	164.07140	49.07536	73.64256	163.78085	48.96957	1	-37.04285	30.05042	557.13928	1	25.99476	29.54548	559.10120	0.58828	0.44382	0.25323	0.43452	0.44490	0.25607	1	2.56133	1	2.71570	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	23	1	0		1	8143	Fixation1	State1	44	1236	628	121405	121405670	121422	121422863	21354551310	21370948839	21354568503	303	14145	1	0.64581	0.52505	1	0.64179	0.52188	75.07481	163.22128	48.76595	72.97694	164.19417	49.11999	1	-37.03496	30.04296	557.05396	1	25.99778	29.54358	559.11841	0.58828	0.44383	0.25305	0.43451	0.44491	0.25611	1	2.59296	1	2.69809	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	24	1	0		1	8143	Fixation1	State1	48	1236	632	121409	121409670	121426	121426803	21354555310	21370952839	21354572443	304	14146	1	0.64568	0.53061	1	0.64219	0.52424	75.00809	161.51672	48.14547	73.18436	163.47058	48.85666	1	-37.03738	30.04299	557.11432	1	26.00309	29.53795	559.10950	0.58827	0.44384	0.25318	0.43450	0.44492	0.25609	1	2.59186	1	2.68384	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	25	1	0		1	8143	Fixation1	State1	52	1234	632	121413	121413669	121430	121430842	21354559310	21370956839	21354576483	305	14147	1	0.64702	0.52961	1	0.63846	0.52377	75.70550	161.82419	48.25740	71.23464	163.61584	48.90952	1	-37.03516	30.04165	557.11444	1	26.01225	29.53812	559.15210	0.58826	0.44384	0.25318	0.43448	0.44492	0.25618	1	2.60246	1	2.69658	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	26	1	0		1	8143	Fixation1	State1	56	1238	633	121417	121417669	121434	121434829	21354563310	21370960839	21354580470	306	14148	1	0.64511	0.53875	1	0.64478	0.51749	74.70974	159.01996	47.23674	74.53568	165.54124	49.61032	1	-37.03204	30.04131	557.14935	1	26.00863	29.52832	559.10901	0.58825	0.44385	0.25325	0.43448	0.44494	0.25609	1	2.59282	1	2.71240	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	27	1	0		1	8143	Fixation1	State1	60	1236	638	121421	121421670	121438	121438911	21354567310	21370964839	21354584551	307	14149	1	0.64491	0.54447	1	0.64361	0.51943	74.60548	157.26443	46.59782	73.92683	164.94452	49.39309	1	-37.02995	30.03912	557.15808	1	26.01663	29.53139	559.14294	0.58824	0.44385	0.25327	0.43447	0.44494	0.25616	1	2.60167	1	2.70433	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	28	1	0		1	8143	Fixation1	State1	64	1239	630	121425	121425669	121442	121442529	21354571310	21370968839	21354588170	308	14150	1	0.64931	0.53822	1	0.64159	0.51271	76.90582	159.18227	47.29584	72.87416	167.00807	50.14419	1	-37.02995	30.03750	557.15814	1	26.02275	29.52989	559.15991	0.58824	0.44386	0.25327	0.43446	0.44495	0.25620	1	2.61032	1	2.66299	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	29	1	0		1	8143	Fixation1	State1	68	1241	635	121429	121429669	121447	121447027	21354575310	21370972839	21354592668	309	14151	1	0.64875	0.54121	1	0.64403	0.51800	76.61292	158.26552	46.96215	74.14526	165.38318	49.55276	1	-37.02905	30.03771	557.19287	1	26.02009	29.52272	559.12537	0.58823	0.44386	0.25335	0.43446	0.44496	0.25612	1	2.62651	1	2.68318	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	30	1	0		1	8143	Fixation1	State1	72	1237	633	121433	121433670	121450	121450902	21354579310	21370976839	21354596542	310	14152	1	0.64556	0.53960	1	0.64316	0.51590	74.94625	158.75945	47.14190	73.69293	166.02936	49.78797	1	-37.02348	30.02877	557.12451	1	26.02575	29.52588	559.16821	0.58823	0.44387	0.25320	0.43445	0.44496	0.25621	1	2.60443	1	2.66872	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	31	1	0		1	8143	Fixation1	State1	76	1233	630	121437	121437669	121454	121454934	21354583310	21370980839	21354600575	311	14153	1	0.64504	0.53455	1	0.63937	0.51578	74.67378	160.30640	47.70499	71.71132	166.06689	49.80161	1	-37.02578	30.02991	557.17621	1	26.03163	29.52461	559.21161	0.58823	0.44388	0.25331	0.43444	0.44497	0.25631	1	2.57558	1	2.68436	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	32	1	0		1	8143	Fixation1	State1	80	1238	628	121441	121441669	121458	121458867	21354587310	21370984839	21354604508	312	14154	1	0.64854	0.53502	1	0.64192	0.51235	76.50246	160.16356	47.65295	73.04639	167.11787	50.18415	1	-37.02893	30.03040	557.17554	1	26.02786	29.52000	559.17694	0.58824	0.44388	0.25331	0.43445	0.44497	0.25623	1	2.58119	1	2.69127	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	33	1	0		1	8143	Fixation1	State1	84	1237	632	121445	121445669	121462	121462929	21354591310	21370988839	21354608570	313	14155	1	0.64872	0.53854	1	0.64006	0.51541	76.59792	159.08372	47.25995	72.07143	166.17958	49.84259	1	-37.03545	30.03163	557.22668	1	26.02793	29.51905	559.17688	0.58824	0.44388	0.25342	0.43445	0.44497	0.25623	1	2.60103	1	2.68665	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	34	1	0		1	8143	Fixation1	State1	88	1242	634	121449	121449669	121466	121466973	21354595310	21370992839	21354612614	314	14156	1	0.64874	0.54129	1	0.64508	0.51658	76.60514	158.23988	46.95282	74.69617	165.81870	49.71129	1	-37.03426	30.02922	557.20984	1	26.02482	29.51853	559.17712	0.58824	0.44389	0.25338	0.43445	0.44498	0.25623	1	2.60428	1	2.66789	FinalWorkshopInformative.png		
